id,value
System,
System.CardiovascularSystemHeart,
System.CardiovascularSystemHeart.Atrium,
System.CardiovascularSystemHeart.Valve,
System.CardiovascularSystemHeart.Ventricle,
System.ConnectiveTissue,
System.ConnectiveTissue.Adiposetissue,
System.ConnectiveTissue.Adiposetissue.Adipocyte,
System.ConnectiveTissue.Bone,
System.ConnectiveTissue.Bone.Myofibroblast,
System.ConnectiveTissue.Bone.Osteoblast,
System.ConnectiveTissue.Bone.StromalCell,
System.ConnectiveTissue.Cartilage,
System.ConnectiveTissue.Cartilage.Chonrocyte,
System.DigestiveSystem,
System.DigestiveSystem.Intestine,
System.DigestiveSystem.Intestine.ColunicMucosa,
System.DigestiveSystem.Intestine.IntestinalEpithelialCell,
System.DigestiveSystem.Liver,
System.DigestiveSystem.Liver.HepaticStellateCell,
System.DigestiveSystem.Liver.Hepatocyte,
System.DigestiveSystem.Pancreas,
System.DigestiveSystem.Pancreas.AlphaCell,
System.DigestiveSystem.Pancreas.BetaCell,
System.DigestiveSystem.Pancreas.PancreaticIslet,
System.DigestiveSystem.Stomach,
System.DigestiveSystem.Stomach.GastricEpithelialCell,
System.ImmuneSystem,
System.ImmuneSystem.Granulocytic,
System.ImmuneSystem.Granulocytic.Granulocyte,
System.ImmuneSystem.Granulocytic.Neutrophil,
System.ImmuneSystem.Lymphoid,
System.ImmuneSystem.Lymphoid.Blymphocyte,
System.ImmuneSystem.Lymphoid.PlasmaCell,
System.ImmuneSystem.Lymphoid.PlasmacytoidDendriticCell,
System.ImmuneSystem.Lymphoid.Tlymphocyte,
System.ImmuneSystem.Myeloid,
System.ImmuneSystem.Myeloid.DendriticCell,
System.ImmuneSystem.Myeloid.KupfferCell,
System.ImmuneSystem.Myeloid.Macrophage,
System.ImmuneSystem.Myeloid.Microglia,
System.IntegumentarySystem Skin,
System.IntegumentarySystem Skin.BaselCell,
System.IntegumentarySystem Skin.Fibroblast,
System.IntegumentarySystem Skin.Keratinocyte,
System.IntegumentarySystem Skin.Melanocyte,
System.IntegumentarySystem Skin.Skin,
System.MuscularSystem,
System.MuscularSystem.SkeletalMuscle,
System.MuscularSystem.SkeletalMuscle.Myoblast,
System.MuscularSystem.SmoothMuscle,
System.MuscularSystem.SmoothMuscle.AirwaySmoothMuscle,
System.MuscularSystem.SmoothMuscle.Myofibroblast,
System.MuscularSystem.SmoothMuscle.VascularSmoothMuscle,
System.NervousSystem,
System.NervousSystem.CNS,
System.NervousSystem.CNS.Astrocyte,
System.NervousSystem.CNS.Cerebellum,
System.NervousSystem.CNS.CerebralCortex,
System.NervousSystem.CNS.Hypothalamus,
System.NervousSystem.CNS.Medulla,
System.NervousSystem.CNS.Midbrain,
System.NervousSystem.CNS.Neron,
System.NervousSystem.CNS.Pons,
System.NervousSystem.CNS.SpinalCord,
System.NervousSystem.CNS.Thalamus,
System.NervousSystem.Eye,
System.NervousSystem.Eye.Retnia,
System.NervousSystem.PNS,
System.NervousSystem.PNS.MotorNeron,
System.Respiratory System,
System.Respiratory System.Lung,
System.Respiratory System.Lung.LungEpithelialCell,
System.Urogenital/Reproductive System,
System.Urogenital/Reproductive System.Breast,
System.Urogenital/Reproductive System.Breast.MammaryGlad,
System.Urogenital/Reproductive System.Kindey,
System.Urogenital/Reproductive System.Kindey.Podcyte,
System.Urogenital/Reproductive System.Kindey.RenalCortex,
System.Urogenital/Reproductive System.Ovary,
System.Urogenital/Reproductive System.Ovary.GranulosaCell,
System.Urogenital/Reproductive System.Ovary.Oocyte,
